,rocket,family,rock_agency,location,lat,lon,result,failreason,date,lsp_name,lsp_country,year,Decade,rating,Failure_Category
1184,Ariane 5 G,Ariane,NA,"Ariane Launch Area 3, Kourou",5.239,-52.768,0,"A software error led to integer overflow, causing the rocket to veer off its flight path 37 seconds after launch. This caused the vehicle to disintegrate under high aerodynamic forces, eventually self-destructing due to its flight termination system.",6/4/1996 12:34,Arianespace,FRA,1996,1990's,3,Human Error
1250,Titan IIIE,Titan,Lockheed Martin,"Space Launch Complex 41, Cape Canaveral, FL",28.58341025,-80.58303644,0,Centaur LOX turbopump malfunction. RSO destruct at T+742 seconds.,2/11/1974 13:48,Lockheed Martin,USA,1974,1970's,55,System Failure
1275,Delta II 7920-10,Delta,NA,"Space Launch Complex 2W, Vandenberg AFB, CA",34.7556,-120.6224,0,,12/14/2006 21:00,United Launch Alliance,USA,2006,2000's,55,Unknown Failure
1276,Delta II 7925-10C,Delta,NA,"Space Launch Complex 17B, Cape Canaveral, FL",28.4458,-80.5657,0,,2/17/2007 23:01,United Launch Alliance,USA,2007,2000's,55,Unknown Failure
1277,Delta II 7420-10,Delta,NA,"Space Launch Complex 2W, Vandenberg AFB, CA",34.7556,-120.6224,0,,6/8/2007 2:34,United Launch Alliance,USA,2007,2000's,55,Unknown Failure
1278,Delta II 7925,Delta,NA,"Space Launch Complex 17A, Cape Canaveral, FL",28.4472,-80.565,0,,8/4/2007 9:26,United Launch Alliance,USA,2007,2000's,55,Unknown Failure
1279,Delta II 7920-10,Delta,NA,"Space Launch Complex 2W, Vandenberg AFB, CA",34.7556,-120.6224,0,,9/18/2007 18:35,United Launch Alliance,USA,2007,2000's,55,Unknown Failure
1280,Delta II 7925H-9.5,Delta,NA,"Space Launch Complex 17B, Cape Canaveral, FL",28.4458,-80.5657,0,,9/27/2007 11:34,United Launch Alliance,USA,2007,2000's,55,Unknown Failure
1281,Delta II 7925-9.5,Delta,NA,"Space Launch Complex 17A, Cape Canaveral, FL",28.4472,-80.565,0,,10/17/2007 12:23,United Launch Alliance,USA,2007,2000's,55,Unknown Failure
1282,Delta IV Heavy,Delta,NA,"Space Launch Complex 37B, Cape Canaveral, FL",28.5317,-80.56495,0,,11/11/2007 1:50,United Launch Alliance,USA,2007,2000's,55,Unknown Failure
1283,Delta II 7420-10,Delta,NA,"Space Launch Complex 2W, Vandenberg AFB, CA",34.7556,-120.6224,0,,12/9/2007 2:31,United Launch Alliance,USA,2007,2000's,55,Unknown Failure
1284,Delta II 7925-9.5,Delta,NA,"Space Launch Complex 17A, Cape Canaveral, FL",28.4472,-80.565,0,,12/20/2007 20:04,United Launch Alliance,USA,2007,2000's,55,Unknown Failure
1285,Delta II 7920H-10C,Delta,NA,"Space Launch Complex 17A, Cape Canaveral, FL",28.4472,-80.565,0,,3/15/2008 6:10,United Launch Alliance,USA,2008,2000's,55,Unknown Failure
1286,Delta II 7920H-10C,Delta,NA,"Space Launch Complex 17B, Cape Canaveral, FL",28.4458,-80.5657,0,,6/11/2008 16:05,United Launch Alliance,USA,2008,2000's,55,Unknown Failure
1287,Delta II 7320,Delta,NA,"Space Launch Complex 2W, Vandenberg AFB, CA",34.7556,-120.6224,0,,6/20/2008 7:46,United Launch Alliance,USA,2008,2000's,55,Unknown Failure
1288,Delta II 7420-10,Delta,NA,"Space Launch Complex 2W, Vandenberg AFB, CA",34.7556,-120.6224,0,,9/6/2008 18:50,United Launch Alliance,USA,2008,2000's,55,Unknown Failure
1289,Delta II 7420,Delta,NA,"Space Launch Complex 2W, Vandenberg AFB, CA",34.7556,-120.6224,0,,10/25/2008 2:28,United Launch Alliance,USA,2008,2000's,55,Unknown Failure
1290,Delta IV Heavy,Delta,NA,"Space Launch Complex 37B, Cape Canaveral, FL",28.5317,-80.56495,0,,1/18/2009 2:47,United Launch Alliance,USA,2009,2000's,55,Unknown Failure
1291,Delta II 7320-10C,Delta,NA,"Space Launch Complex 2W, Vandenberg AFB, CA",34.7556,-120.6224,0,,2/6/2009 10:22,United Launch Alliance,USA,2009,2000's,55,Unknown Failure
1292,Delta II 7925-10L,Delta,NA,"Space Launch Complex 17B, Cape Canaveral, FL",28.4458,-80.5657,0,,3/7/2009 3:49,United Launch Alliance,USA,2009,2000's,55,Unknown Failure
1293,Delta II 7925-9.5,Delta,NA,"Space Launch Complex 17A, Cape Canaveral, FL",28.4472,-80.565,0,,3/24/2009 8:34,United Launch Alliance,USA,2009,2000's,55,Unknown Failure
1294,Delta II 7920-10C,Delta,NA,"Space Launch Complex 2W, Vandenberg AFB, CA",34.7556,-120.6224,0,,5/5/2009 20:24,United Launch Alliance,USA,2009,2000's,55,Unknown Failure
1295,"Delta IV M+(4,2)",Delta,NA,"Space Launch Complex 37B, Cape Canaveral, FL",28.5317,-80.56495,0,,6/27/2009 22:51,United Launch Alliance,USA,2009,2000's,55,Unknown Failure
1296,Delta II 7925,Delta,NA,"Space Launch Complex 17A, Cape Canaveral, FL",28.4472,-80.565,0,,8/17/2009 10:35,United Launch Alliance,USA,2009,2000's,55,Unknown Failure
1297,Delta II 7920-10C,Delta,NA,"Space Launch Complex 17B, Cape Canaveral, FL",28.4458,-80.5657,0,,9/25/2009 12:20,United Launch Alliance,USA,2009,2000's,55,Unknown Failure
1298,Delta II 7920-10C,Delta,NA,"Space Launch Complex 2W, Vandenberg AFB, CA",34.7556,-120.6224,0,,10/8/2009 18:51,United Launch Alliance,USA,2009,2000's,55,Unknown Failure
1299,"Delta IV M+(5,4)",Delta,NA,"Space Launch Complex 37B, Cape Canaveral, FL",28.5317,-80.56495,0,,12/6/2009 1:47,United Launch Alliance,USA,2009,2000's,55,Unknown Failure
1300,Delta II 7320-10C,Delta,NA,"Space Launch Complex 2W, Vandenberg AFB, CA",34.7556,-120.6224,0,,12/14/2009 14:09,United Launch Alliance,USA,2009,2000's,55,Unknown Failure
1301,Atlas V 401,Atlas,NA,"Space Launch Complex 41, Cape Canaveral, FL",28.58341025,-80.58303644,0,,3/9/2007 3:10,United Launch Alliance,USA,2007,2000's,55,Unknown Failure
1302,Atlas V 401,Atlas,NA,"Space Launch Complex 41, Cape Canaveral, FL",28.58341025,-80.58303644,0,,6/15/2007 15:11,United Launch Alliance,USA,2007,2000's,55,Unknown Failure
1303,Atlas V 421,Atlas,NA,"Space Launch Complex 41, Cape Canaveral, FL",28.58341025,-80.58303644,0,,10/11/2007 0:22,United Launch Alliance,USA,2007,2000's,55,Unknown Failure
1304,Atlas V 401,Atlas,NA,"Space Launch Complex 41, Cape Canaveral, FL",28.58341025,-80.58303644,0,,12/10/2007 22:05,United Launch Alliance,USA,2007,2000's,55,Unknown Failure
1305,Atlas V 411,Atlas,NA,"Space Launch Complex 3E, Vandenberg AFB, CA",34.64,-120.5895,0,,3/13/2008 10:02,United Launch Alliance,USA,2008,2000's,55,Unknown Failure
1306,Atlas V 421,Atlas,NA,"Space Launch Complex 41, Cape Canaveral, FL",28.58341025,-80.58303644,0,,4/14/2008 20:12,United Launch Alliance,USA,2008,2000's,55,Unknown Failure
1307,Atlas V 421,Atlas,NA,"Space Launch Complex 41, Cape Canaveral, FL",28.58341025,-80.58303644,0,,4/4/2009 0:31,United Launch Alliance,USA,2009,2000's,55,Unknown Failure
1308,Atlas V 401,Atlas,NA,"Space Launch Complex 41, Cape Canaveral, FL",28.58341025,-80.58303644,0,,6/18/2009 17:32,United Launch Alliance,USA,2009,2000's,55,Unknown Failure
1309,Atlas V 401,Atlas,NA,"Space Launch Complex 41, Cape Canaveral, FL",28.58341025,-80.58303644,0,,9/8/2009 21:35,United Launch Alliance,USA,2009,2000's,55,Unknown Failure
1310,Atlas V 401,Atlas,NA,"Space Launch Complex 3E, Vandenberg AFB, CA",34.64,-120.5895,0,,10/18/2009 16:12,United Launch Alliance,USA,2009,2000's,55,Unknown Failure
1311,Atlas V 431,Atlas,NA,"Space Launch Complex 41, Cape Canaveral, FL",28.58341025,-80.58303644,0,,11/23/2009 6:55,United Launch Alliance,USA,2009,2000's,55,Unknown Failure
1313,Long March 3B,Long March 3,China Aerospace Science and Technology Corporation,"Unknown, Xichang Satellite Launch Center",28.246017,102.026556,0,The satellite was deployed into the wrong orbit.,8/31/2009 0:09,China Aerospace Science and Technology Corporation,CHN,2009,2000's,5,Human Error
1314,Delta IV Heavy,Delta,NA,"Space Launch Complex 37B, Cape Canaveral, FL",28.5317,-80.56495,0,"Two nanosats were lost after a first stage anomaly. Additionally, the mass simulator was placed into the wrong orbit.",12/21/2004 21:50,Boeing,USA,2004,2000's,55,System Failure
1315,Simorgh ,Simorgh,NA,Imam Khomeini Spaceport,35.238,53.950778,0,"Failure due to a problem with the second stage, which failed after 20 seconds of powered flight (of planned 300 seconds).",7/27/2017 9:30,Iranian Space Agency,IRN,2017,2010's,1,System Failure
1372,Zhuque-1,Zhuque,LandSpace,"Unknown Pad, Jiuquan",40.958,100.291,0,Attitude control failed after third stage ignition.,10/27/2018 8:57,LandSpace,CHN,2018,2010's,5,System Failure
